product,protein,fat,fiber,ash,ca,p,water
13087,14.81,0.43,1.22,1.33,0.06,0.14,6.58
13088,11.47,0.8,1.83,1.63,0.08,0.13,6.9
12841,6.4,1.8,2.2,1.1,0.04,0.05,10.5
12842,22.2,0.9,1.7,3.5,0.16,0.22,10.4
12843,1.1,1.9,1.4,1.0,0.06,0.05,9.7
12844,1.3,1.9,20.24,0.6,0.06,15.7,8.9
12845,1.9,0.5,0.01,0.9,0.06,0.06,11.4
12846,8.0,0.04,2.0,4.5,0.01,0.05,20.0
12847,8.0,0.04,2.0,4.5,0.01,0.05,20.0
12861,8.0,0.04,2.0,4.5,0.01,0.05,20.0
12862,8.0,0.04,2.0,4.5,0.01,0.05,20.0
13099,4.5,2.8,0.1,0.4,0.04,0.03,85.0
13100,4.6,1.7,0.1,1.0,0.15,0.08,85.0
13101,4.5,2.8,0.1,0.4,0.04,0.03,85.0
13102,4.6,1.7,0.1,1.0,0.15,0.08,85.0
13103,4.5,2.8,0.1,0.4,0.04,0.03,85.0
12878,4.6,1.7,0.1,1.0,0.15,0.08,85.0
12880,4.5,2.8,0.1,0.4,0.04,0.03,85.0
12906,4.6,1.7,0.1,1.0,0.15,0.08,85.0
