product,prod_nm,brand_pk,salary_age,salary_type,pet_type,exp_type,exp_month
13087,르뽀떼 이바네착 블루베리향,924,,,1,제조일로부터,36.0
13088,르뽀떼 이바네착 닭고기향,924,,,1,제조일로부터,36.0
12841,미펫 낼름 눈건강 필름 영양제,925,3개월이상,,1,제조일로부터,36.0
12842,미펫 낼름 관절건강 필름 영양제,925,3개월이상,,1,제조일로부터,36.0
12843,미펫 낼름 장건강 필름 영양제,925,3개월이상,,1,제조일로부터,36.0
12844,미펫 낼름 비타민 필름 영양제,925,3개월이상,,1,제조일로부터,36.0
12845,미펫 낼름 구강건강 필름 영양제,925,3개월이상,,1,제조일로부터,36.0
12846,미펫 캡슐츄 구강 (덴탈),925,3개월이후,소 중형견용,1,,
12847,미펫 캡슐츄 관절 (조인트),925,3개월이후,소 중형견용,1,,
12861,미펫 캡슐츄 피부 (스킨),925,3개월이후,소 중형견용,1,,
12862,미펫 캡슐츄 대형견 (플러스),925,3개월이후,대형견용,1,,
13099,미펫 낼름캣츠 신장 연어,925,생후 3개월령 ~ 전연령용,,2,,
13100,미펫 낼름캣츠 신장 참치,925,생후 3개월령 ~ 전연령용,,2,,
13101,미펫 낼름캣츠 릴렉스 연어,925,생후 3개월령 ~ 전연령용,,2,,
13102,미펫 낼름캣츠 릴렉스 참치,925,생후 3개월령 ~ 전연령용,,2,,
13103,미펫 낼름캣츠 구강 연어,925,생후 3개월령 ~ 전연령용,,2,,
12878,미펫 낼름캣츠 구강 참치,925,생후 3개월령 ~ 전연령용,,2,,
12880,미펫 낼름캣츠 관절 연어,925,생후 3개월령 ~ 전연령용,,2,,
12906,미펫 낼름캣츠 관절 참치,925,생후 3개월령 ~ 전연령용,,2,,
